名稱zh,名稱en,國籍zh,國籍en,能力,潛力,偏好位置總數,偏好位置1,偏好位置2,偏好位置3,年齡,Hits,球隊zh,球隊en,租借球隊zh,租借球隊en
Jonathan Amon,Jonathan Amon,美國,United States,66,77,1,LW,,,21,0,洛斯查蘭特,FC Nordsjælland,,
Viktor Gyökeres,Viktor Gyökeres,瑞典,Sweden,66,77,3,LM,ST,RM,22,0,聖保利,FC St. Pauli,白禮頓,On loan from: Brighton & Hove Albion
Santy Ngom,Santy Ngom,塞內加爾,Senegal,66,67,2,ST,RW,,27,0,卡昂,Stade Malherbe Caen,,
Igor,Igor,巴西,Brazil,66,75,2,CB,LB,,22,0,費倫天拿,Fiorentina,史帕爾,On loan from: SPAL
Mender García,Mender García,哥倫比亞,Colombia,66,75,1,ST,,,21,0,卡達斯,Once Caldas,,
Ulises Cardona,Ulises Cardona,墨西哥,Mexico,66,76,2,LM,LB,,21,0,阿特拿斯,Club Atlas,,
Shaquille Pinas,Shaquille Pinas,荷蘭,Netherlands,66,74,2,CB,CM,,22,0,海牙,ADO Den Haag,,
Ramiro Guerra,Ramiro Guerra,烏拉圭,Uruguay,66,75,1,CDM,,,23,0,維拉利爾,Villarreal CF,,
Max Bird,Max Bird,英格蘭,England,66,82,2,CM,CDM,,19,0,打比郡,Derby County,,
Marko Kolar,Marko Kolar,克羅地亞,Croatia,66,72,2,ST,RM,,25,0,安曼,FC Emmen,,
Lyle Foster,Lyle Foster,南非,South Africa,66,80,2,ST,RW,,19,2,色格拉布魯日,KSV Cercle Brugge,,
Fran Manzanara,Fran Manzanara,西班牙,Spain,66,76,2,CDM,CB,,23,1,邦弗拉甸拿,SD Ponferradina,利雲特,On loan from: Levante UD
Alexander Meyer,Alexander Meyer,德國,Germany,66,67,1,GK,,,29,1,雷根斯堡足球俱樂部,SSV Jahn Regensburg,,
Marcelo Ortíz,Marcelo Ortíz,阿根廷,Argentina,66,69,2,RB,CB,,26,0,圖庫曼體育會,Atlético Tucumán,,
Nahuel Estévez,Nahuel Estévez,阿根廷,Argentina,66,72,2,RM,CM,,24,0,學生隊,Estudiantes de La Plata,,
Fatih Aksoy,Fatih Aksoy,土耳其,Turkey,66,74,3,CDM,CB,RB,22,0,施華斯堡,Sivasspor,比錫達斯,On loan from: Beşiktaş JK
Etienne Amenyido,Etienne Amenyido,德國,Germany,66,76,3,RM,LM,ST,22,0,奧斯納布魯克,VfL Osnabrück,,
Sedat Şahintürk,Sedat Şahintürk,土耳其,Turkey,66,72,2,LM,RM,,24,0,德尼茲利,Denizlispor,比錫達斯,On loan from: Beşiktaş JK
Lorenzo Rajot,Lorenzo Rajot,法國,France,66,76,2,CAM,CDM,,22,0,勒芒足球會,Le Mans FC,克萊蒙特,On loan from: Clermont Foot 63
Martin Ellingsen,Martin Ellingsen,挪威,Norway,66,72,2,CDM,CM,,25,0,莫迪,Molde FK,,
Miguel Ángel Merentiel,Miguel Ángel Merentiel,烏拉圭,Uruguay,66,73,2,ST,CAM,,24,0,葛度爾古斯,Godoy Cruz,,
Tijjani Reijnders,Tijjani Reijnders,荷蘭,Netherlands,66,75,2,CAM,CM,,21,0,RKC華域克,RKC Waalwijk,阿爾克馬爾,On loan from: AZ
Indy Boonen,Indy Boonen,比利時,Belgium,66,74,3,LM,ST,CAM,21,0,奧斯坦德,KV Oostende,,
M'Bala Nzola,M'Bala Nzola,法國,France,66,73,2,ST,RW,,23,0,史柏斯亞,La Spezia,特拉帕尼,On loan from: Trapani
Christian Capone,Christian Capone,意大利,Italy,66,81,2,LW,CF,,21,0,佩魯賈,Perugia,阿特蘭大,On loan from: Atalanta
Goduine Koyalipou,Goduine Koyalipou,法國,France,66,77,3,RW,RM,LW,20,0,尼奧特,Chamois Niortais Football Club,,
Edu Cortina,Edu Cortina,西班牙,Spain,66,75,2,CDM,CM,,23,0,奧維多,R. Oviedo,,
Nemanja Mihajlović,Nemanja Mihajlović,塞爾維亞,Serbia,66,71,2,LM,LW,,24,0,格丁尼亞,Arka Gdynia,,
Luca Marseiler,Luca Marseiler,德國,Germany,66,72,2,LM,RM,,23,0,安達赫治,SpVgg Unterhaching,,
Mohamed Ezzarfani,Mohamed Ezzarfani,摩洛哥,Morocco,66,76,3,RM,LM,ST,22,0,愛斯賓奴,RCD Espanyol,,
Flynn Downes,Flynn Downes,英格蘭,England,66,72,1,CM,,,21,0,葉士域治,Ipswich Town,,
Néstor Albiach,Néstor Albiach,西班牙,Spain,66,67,2,CAM,ST,,27,0,紐文西亞,CD Numancia,,
Ricardo Mangas,Ricardo Mangas,葡萄牙,Portugal,66,76,1,LB,,,22,0,艾維斯,Desportivo das Aves,,
Javi Alonso,Javi Alonso,西班牙,Spain,66,77,1,CDM,,,21,0,特內里費,CD Tenerife,,
Fernando Beltrán,Fernando Beltrán,墨西哥,Mexico,66,76,2,CM,CDM,,22,2,瓜達拉哈拉,Guadalajara,,
Nicolás Guerra,Nicolás Guerra,智利,Chile,66,78,1,ST,,,21,6,智利大學,Universidad de Chile,,
Bruno Silva,Bruno Silva,巴西,Brazil,66,67,1,LB,,,27,0,摩里倫斯,Moreirense FC,,
Danilo,Danilo,巴西,Brazil,66,77,3,ST,LW,RW,21,1,阿積士,Ajax,,
Chahreddine Boukholda,Chahreddine Boukholda,法國,France,66,73,2,CAM,CM,,24,0,比蘭倫斯,Belenenses,,
Doğan Erdoğan,Doğan Erdoğan,土耳其,Turkey,66,73,1,CM,,,23,0,特拉布宗,Trabzonspor,,
Jonah Osabutey,Jonah Osabutey,迦納,Ghana,66,75,2,ST,RW,,21,0,梅斯干,Royal Excel Mouscron,雲達不萊梅,On loan from: SV Werder Bremen
Charles Carolus Andriamahitsinoro,Charles Carolus Andriamahitsinoro,馬達加斯加,Madagascar,66,66,2,ST,LM,,30,0,艾亞達拿,Al Adalah Club,,
José de Jesús Godínez,José de Jesús Godínez,墨西哥,Mexico,66,75,1,ST,,,23,2,利昂,Club León,瓜達拉哈拉,On loan from: Guadalajara
Maximilian Rossmann,Maximilian Rossmann,德國,Germany,66,69,1,CB,,,25,0,荷華高斯,Heracles Almelo,,
Josh Earl,Josh Earl,英格蘭,England,66,76,2,LB,CB,,21,1,普雷斯頓,Preston North End,,
Maximilian Thalhammer,Maximilian Thalhammer,德國,Germany,66,76,2,CDM,CM,,22,0,恩高斯達特,FC Ingolstadt 04,,
Makana Baku,Makana Baku,德國,Germany,66,78,3,LM,RM,LW,22,0,基爾,Holstein Kiel,,
Tiago Castro,Tiago Castro,葡萄牙,Portugal,66,70,2,CM,RW,,24,0,塞圖巴爾,Vitória Setúbal,,
Przemysław Płacheta,Przemysław Płacheta,波蘭,Poland,66,77,1,LM,,,22,1,施拉斯克,Śląsk Wrocław,,
Mitchel Bakker,Mitchel Bakker,荷蘭,Netherlands,66,77,1,LB,,,20,3,巴黎聖日耳門,Paris Saint-Germain,,
Alexander Fuchs,Alexander Fuchs,德國,Germany,66,75,3,CM,CAM,CDM,23,0,安達赫治,SpVgg Unterhaching,,
Marcel Seegert,Marcel Seegert,德國,Germany,66,70,3,CB,CDM,LB,26,0,曼海姆,Sportverein Waldhof Mannheim 07 e.V.,,
Jeong Woo Yeong,Jeong Woo Yeong,大韓民國,Korea Republic,66,80,2,RM,LM,,20,3,拜仁慕尼黑二隊,FC Bayern München II,弗賴堡,On loan from: Sport-Club Freiburg
Massih Wassey,Massih Wassey,加拿大,Canada,66,66,2,CM,CDM,,32,0,柏達邦,SC Paderborn 07,,
Stefan Schimmer,Stefan Schimmer,德國,Germany,66,69,1,ST,,,26,0,海登咸,1. FC Heidenheim 1846,,
Felix Luckeneder,Felix Luckeneder,奧地利,Austria,66,69,1,CB,,,26,0,哈特堡,TSV Hartberg,寧斯,On loan from: LASK Linz
Maximilian Wolfram,Maximilian Wolfram,德國,Germany,66,75,3,RM,LM,CF,23,1,恩高斯達特,FC Ingolstadt 04,,
Robin Scheu,Robin Scheu,德國,Germany,66,69,3,RM,RW,ST,25,0,辛特侯遜,SV Sandhausen,,
Matheus Aias,Matheus Aias,巴西,Brazil,66,74,1,ST,,,23,1,米蘭迪斯,CD Mirandés,屈福特,On loan from: Watford
Quentin Maceiras,Quentin Maceiras,瑞士,Switzerland,66,73,2,RB,RWB,,24,0,錫永,FC Sion,,
Leo Weinkauf,Leo Weinkauf,德國,Germany,66,73,1,GK,,,23,0,杜伊斯堡,MSV Duisburg,漢諾威,On loan from: Hannover 96
Olivier Verdon,Olivier Verdon,貝南,Benin,66,71,1,CB,,,24,0,奧伊彭,KAS Eupen,艾拉維斯,On loan from: D. Alavés
Luis Perea,Luis Perea,西班牙,Spain,66,77,2,CM,CDM,,22,1,艾高干,AD Alcorcón,奧沙辛拿,On loan from: CA Osasuna
Ben Wilmot,Ben Wilmot,英格蘭,England,66,81,1,CB,,,20,1,史雲斯,Swansea City,屈福特,On loan from: Watford
Ha Chang Rae,Ha Chang Rae,大韓民國,Korea Republic,66,72,1,CB,,,25,0,浦項製鐵,Pohang Steelers,,
Matías Sepúlveda,Matías Sepúlveda,智利,Chile,66,76,3,CDM,CM,RM,21,2,奧希金斯,CD O'Higgins,,
August Erlingmark,August Erlingmark,瑞典,Sweden,66,73,2,CDM,CB,,22,0,哥登堡,IFK Göteborg,,
Carlos Vargas,Carlos Vargas,墨西哥,Mexico,66,76,2,LB,CB,,21,0,莫雷利亞,Monarcas Morelia,CF阿美利加,On loan from: Club América
Dujon Sterling,Dujon Sterling,英格蘭,England,66,81,1,RB,,,20,1,韋根,Wigan Athletic,,
Jakub Żubrowski,Jakub Żubrowski,波蘭,Poland,66,67,2,CDM,CM,,28,0,哥羅那,Korona Kielce,,
Kunimitsu Sekiguchi,Kunimitsu Sekiguchi,日本,Japan,66,66,2,LM,RM,,34,0,仙台維加泰,Vegalta Sendai,,
Yosuke Kawai,Yosuke Kawai,日本,Japan,66,66,3,CM,CAM,CDM,30,0,清水心跳,Shimizu S-Pulse,,
Ko Matsubara,Ko Matsubara,日本,Japan,66,72,1,LB,,,23,0,聖圖爾登,Sint-Truidense VV,,
Yugo Tatsuta,Yugo Tatsuta,日本,Japan,66,74,2,CB,RB,,22,0,清水心跳,Shimizu S-Pulse,,
Takuma Arano,Takuma Arano,日本,Japan,66,67,2,CM,CF,,27,0,北海道札幌岡薩多,Hokkaido Consadole Sapporo,,
Abdullah Al Khaibari,Abdullah Al Khaibari,沙地阿拉伯,Saudi Arabia,66,74,2,CDM,CM,,23,0,艾拿沙,Al Nassr,,
Valentin Castellanos,Valentin Castellanos,阿根廷,Argentina,66,78,2,ST,RW,,21,0,紐約城,New York City FC,,
Moussa Sylla,Moussa Sylla,法國,France,66,77,1,ST,,,20,1,摩納哥,AS Monaco Football Club SA,,
Álvaro Villete,Álvaro Villete,烏拉圭,Uruguay,66,69,1,GK,,,29,0,帕特里奧坦斯,Patriotas Boyacá FC,,
Nedim Bajrami,Nedim Bajrami,瑞士,Switzerland,66,80,3,CM,CDM,CAM,21,0,安玻里,Empoli,,
Taishi Matsumoto,Taishi Matsumoto,日本,Japan,66,74,2,CM,CDM,,21,0,廣島三箭,Sanfrecce Hiroshima,,
Patrick Sontheimer,Patrick Sontheimer,德國,Germany,66,77,3,CM,CAM,CDM,21,1,禾斯貝加踢球者,FC Würzburger Kickers,,
Vladimir Kovačević,Vladimir Kovačević,塞爾維亞,Serbia,66,68,1,CB,,,27,0,哥治,KV Kortrijk,,
Toshio Shimakawa,Toshio Shimakawa,日本,Japan,66,66,3,CDM,CM,CB,30,0,大分三神,Oita Trinita,,
Grigoris Kastanos,Grigoris Kastanos,塞浦路斯,Cyprus,66,77,2,CAM,CM,,22,1,佩斯卡拉,Pescara,,
Jakob Nerwinski,Jakob Nerwinski,美國,United States,66,69,1,RB,,,25,0,溫哥華白帽,Vancouver Whitecaps FC,,
Hicham Benkaid,Hicham Benkaid,法國,France,66,66,3,ST,LM,RM,30,1,奧連斯,US Orléans Loiret Football,,
Ro-Shaun Williams,Ro-Shaun Williams,英格蘭,England,66,74,1,CB,,,21,3,梳士貝利,Shrewsbury,,
Silas Gnaka,Silas Gnaka,象牙海岸,Ivory Coast,66,75,2,LB,LWB,,21,0,奧伊彭,KAS Eupen,,
Gaëtan Weissbeck,Gaëtan Weissbeck,法國,France,66,74,1,CAM,,,23,0,索察,FC Sochaux-Montbéliard,,
Han Seung Gyu,Han Seung Gyu,大韓民國,Korea Republic,66,74,3,CM,LM,RM,23,0,FC首爾,FC Seoul,全北汽車,On loan from: Jeonbuk Hyundai Motors
Deng Hanwen,Deng Hanwen,中華人民共和國,China PR,66,71,2,RB,LB,,25,0,廣州恆大淘寶足球俱樂部,Guangzhou Evergrande Taobao FC,,
Roland Niczuly,Roland Niczuly,羅馬尼亞,Romania,66,74,1,GK,,,24,0,施普斯,Sepsi OSK Sfântu Gheorghe,,
Jake Hastie,Jake Hastie,蘇格蘭,Scotland,66,80,2,RW,LW,,21,0,格拉斯哥流浪,Rangers FC,,
Bruno Leite,Bruno Leite,維德角共和國,Cape Verde,66,71,1,CM,,,25,0,侯格辛特,FK Haugesund,,
Arribas,Arribas,西班牙,Spain,66,76,2,LM,RM,,21,0,艾高干,AD Alcorcón,,
Harrison Mancilla,Harrison Mancilla,哥倫比亞,Colombia,66,66,2,CDM,CM,,28,0,甘拿斯亞,Gimnasia y Esgrima La Plata,古古達,On loan from: Cúcuta Deportivo
Gabriel Gudmundsson,Gabriel Gudmundsson,瑞典,Sweden,66,75,3,LM,RM,ST,21,1,格羅寧根,FC Groningen,,
Oliver Christensen,Oliver Christensen,丹麥,Denmark,66,75,1,GK,,,21,0,奧丹斯,Odense Boldklub,,
Matheo Zoch,Matheo Zoch,玻利維亞,Bolivia,66,80,1,RW,,,22,0,奧利恩特,Club Deportivo Oriente Petrolero,,
Dante Rigo,Dante Rigo,比利時,Belgium,66,75,2,CM,CDM,,21,0,鹿特丹斯巴達,Sparta Rotterdam,燕豪芬,On loan from: PSV
Lennart Grill,Lennart Grill,德國,Germany,66,78,1,GK,,,21,0,凱沙羅頓,1. FC Kaiserslautern,,
Kim Jin Ya,Kim Jin Ya,大韓民國,Korea Republic,66,78,2,LB,RM,,22,0,FC首爾,FC Seoul,,
You Ju An,You Ju An,大韓民國,Korea Republic,66,74,2,ST,RW,,21,0,水原三星,Suwon Samsung Bluewings,,
István Fülöp,István Fülöp,羅馬尼亞,Romania,66,66,2,CAM,CM,,30,0,施普斯,Sepsi OSK Sfântu Gheorghe,,
Kelvin Arase,Kelvin Arase,奧地利,Austria,66,75,3,RM,LM,ST,21,0,維也納迅速,SK Rapid Wien,,
Felix Götze,Felix Götze,德國,Germany,66,77,2,CB,CDM,,22,0,奧格斯堡,FC Augsburg,,
Pol Valentín,Pol Valentín,西班牙,Spain,66,75,3,RB,RWB,RM,23,0,華倫西亞,Valencia CF,,
Alessandro Plizzari,Alessandro Plizzari,意大利,Italy,66,82,1,GK,,,20,4,利佛諾,Livorno,AC米蘭,On loan from: Milan
Cédric Zesiger,Cédric Zesiger,瑞士,Switzerland,66,79,2,CB,LB,,22,1,年青人,BSC Young Boys,,
Mohammed Kadiri,Mohammed Kadiri,迦納,Ghana,66,73,2,CB,CDM,,24,0,基輔戴拿模,Dynamo Kyiv,,
Valentin Cojocaru,Valentin Cojocaru,羅馬尼亞,Romania,66,71,1,GK,,,24,0,沃倫塔里,Fotbal Club Voluntari,維托奴,On loan from: Fotbal Club Viitorul Constanța
Ibrahima Conté,Ibrahima Conté,幾內亞,Guinea,66,71,1,CB,,,24,0,尼奧特,Chamois Niortais Football Club,,
Ely Esterilla,Ely Esterilla,厄瓜多爾,Ecuador,66,66,1,RM,,,27,0,Barcelona Guayaquil,Barcelona Guayaquil,,
Pedro Velasco,Pedro Velasco,厄瓜多爾,Ecuador,66,69,1,LB,,,27,0,Barcelona Guayaquil,Barcelona Guayaquil,,
Víctor Peña,Víctor Peña,秘魯,Peru,66,66,3,RM,LM,CDM,32,0,漢卡約,Sport Huancayo,,
Luis Marleiro,Luis Marleiro,巴西,Brazil,66,66,1,ST,,,28,0,阿拉戈亞諾,Centro Sportivo Alagoano,,
Kauã Reisende,Kauã Reisende,巴西,Brazil,66,66,2,CAM,RW,,28,0,巴希亞,Bahia,,
Raphael Doninho,Raphael Doninho,巴西,Brazil,66,66,1,CAM,,,20,0,甘美奧,Grêmio,,
Ever Rodeiro,Ever Rodeiro,巴西,Brazil,66,66,2,CAM,CM,,24,0,保地花高,Botafogo,,
Christián Herc,Christián Herc,斯洛伐克,Slovakia,66,77,2,CM,CAM,,21,0,比爾森勝利,Viktoria Plzeň,,
Iván Morales,Iván Morales,智利,Chile,66,76,2,RM,RW,,20,0,高路高路,Colo-Colo,,
Rafik Guitane,Rafik Guitane,法國,France,66,77,1,CAM,,,21,0,雷恩,Stade Rennais FC,,
Sebastián Gorga,Sebastián Gorga,烏拉圭,Uruguay,66,71,1,CB,,,26,0,河床,Club Atlético River Plate,,
Gastón Gómez,Gastón Gómez,阿根廷,Argentina,66,74,1,GK,,,24,0,競賽會,Racing Club,,
Tomás Alarcón,Tomás Alarcón,智利,Chile,66,81,2,CDM,CB,,20,0,奧希金斯,CD O'Higgins,,
Loïc Badiashile,Loïc Badiashile,法國,France,66,75,1,GK,,,22,0,摩納哥,AS Monaco Football Club SA,,
Milan Massop,Milan Massop,荷蘭,Netherlands,66,69,3,LB,CB,LM,26,0,施克堡,Silkeborg IF,,
Francisco Venegas,Francisco Venegas,墨西哥,Mexico,66,76,2,LB,CB,,21,0,堤格雷斯,Tigres U.A.N.L.,,
Oliver Rathbone,Oliver Rathbone,英格蘭,England,66,72,3,LM,CM,CDM,23,0,羅奇代爾,Rochdale,,
Matías Cano,Matías Cano,阿根廷,Argentina,66,66,1,GK,,,34,0,哥甘保,Coquimbo Unido,,
Siyabonga Ngezana,Siyabonga Ngezana,南非,South Africa,66,73,2,CB,RB,,22,0,卡薩酋長,Kaizer Chiefs,,
Federico Pérez,Federico Pérez,烏拉圭,Uruguay,66,66,2,CB,LB,,34,0,高隆尼亞,Club Plaza de Deportes Colonia,,
Deroy Duarte,Deroy Duarte,荷蘭,Netherlands,66,74,2,CM,CAM,,20,0,鹿特丹斯巴達,Sparta Rotterdam,,
Patrick Schmidt,Patrick Schmidt,奧地利,Austria,66,75,1,ST,,,21,0,班士利,Barnsley,,
Răzvan Popa,Răzvan Popa,羅馬尼亞,Romania,66,71,1,CB,,,23,0,加斯梅登,Clubul Sportiv Gaz Metan Mediaș,,
Christian Früchtl,Christian Früchtl,德國,Germany,66,83,1,GK,,,20,7,拜仁慕尼黑二隊,FC Bayern München II,,
Carlos Rodríguez,Carlos Rodríguez,烏拉圭,Uruguay,66,66,1,CB,,,30,0,利加大學,LDU Quito,,
Patrick Kammerbauer,Patrick Kammerbauer,德國,Germany,66,74,3,CDM,RB,CM,23,0,布倫瑞克,Eintracht Braunschweig,弗賴堡,On loan from: Sport-Club Freiburg
Pité,Pité,葡萄牙,Portugal,66,70,3,CM,LB,LW,25,0,唐迪拉,CD Tondela,,
Max Svensson,Max Svensson,瑞典,Sweden,66,76,1,LM,,,22,0,希爾星堡,Helsingborgs IF,,
Husein Balic,Husein Balic,奧地利,Austria,66,71,2,ST,LW,,24,0,寧斯,LASK Linz,,
Joaquín Esquivel,Joaquín Esquivel,墨西哥,Mexico,66,77,2,CDM,CM,,22,0,華雷斯,Fútbol Club Juárez,,
Enrique Serje,Enrique Serje,哥倫比亞,Colombia,66,73,1,CDM,,,24,0,聖達菲,Independiente Santa Fe,青年體育會,On loan from: Junior FC
Marko Janković,Marko Janković,黑山共和國,Montenegro,66,72,3,CAM,RW,RM,24,0,克羅托內,Crotone,史帕爾,On loan from: SPAL
Horacio Salaberry,Horacio Salaberry,烏拉圭,Uruguay,66,66,1,CB,,,33,0,河床,Club Atlético River Plate,,
Max Besuschkow,Max Besuschkow,德國,Germany,66,74,3,CM,CDM,CAM,23,0,雷根斯堡足球俱樂部,SSV Jahn Regensburg,,
Michał Nalepa,Michał Nalepa,波蘭,Poland,66,70,3,CAM,CM,CDM,25,0,格丁尼亞,Arka Gdynia,,
Maxime D'Arpino,Maxime D'Arpino,法國,France,66,74,2,CM,CDM,,24,0,奧連斯,US Orléans Loiret Football,,
Emil Bohinen,Emil Bohinen,挪威,Norway,66,79,2,CM,RM,,21,0,史達比克,Stabæk Fotball,,
Francesco Margiotta,Francesco Margiotta,意大利,Italy,66,69,2,ST,CAM,,26,0,琉森,FC Luzern,,
Milan Dimun,Milan Dimun,斯洛伐克,Slovakia,66,76,2,CDM,CM,,23,0,克拉科維亞,Cracovia,,
Houboulang Mendes,Houboulang Mendes,法國,France,66,76,1,RB,,,22,0,羅連安特,FC Lorient,,
Arkadiusz Reca,Arkadiusz Reca,波蘭,Poland,66,73,2,LB,LM,,25,0,史帕爾,SPAL,阿特蘭大,On loan from: Atalanta
Mo El Hankouri,Mo El Hankouri,摩洛哥,Morocco,66,73,1,LM,,,23,0,格羅寧根,FC Groningen,,
Sebastián Pérez,Sebastián Pérez,智利,Chile,66,67,1,GK,,,29,0,伊基克,Deportes Iquique,,
Frederic Ananou,Frederic Ananou,德國,Germany,66,76,3,RB,CB,RM,22,0,恩高斯達特,FC Ingolstadt 04,,
Michael Ambichl,Michael Ambichl,奧地利,Austria,66,66,2,CM,CDM,,29,0,聖普爾頓,spusu SKN St. Pölten,,
Guillaume Heinry,Guillaume Heinry,法國,France,66,66,3,CAM,ST,CM,30,0,錢伯里,FC Chambly Oise,,
Sammy Skytte,Sammy Skytte,丹麥,Denmark,66,74,1,CM,,,23,0,波杜基林特,FK Bodø/Glimt,,
Omar Bogle,Omar Bogle,英格蘭,England,66,68,1,ST,,,26,0,海牙,ADO Den Haag,卡迪夫城,On loan from: Cardiff City
Victorio Ramis,Victorio Ramis,阿根廷,Argentina,66,69,3,RM,ST,LM,25,0,小阿根廷人,Argentinos Juniors,葛度爾古斯,On loan from: Godoy Cruz
Haydar Yılmaz,Haydar Yılmaz,土耳其,Turkey,66,66,1,GK,,,36,0,加辛塔BB,Gazişehir Gaziantep Futbol Kulübü,阿蘭亞士邦,On loan from: Alanyaspor
Peter Kurzweg,Peter Kurzweg,德國,Germany,66,69,3,LB,LM,RB,26,0,恩高斯達特,FC Ingolstadt 04,,
Felix Müller,Felix Müller,德國,Germany,66,66,3,LM,LWB,CM,27,0,安達赫治,SpVgg Unterhaching,,
Niklas Landgraf,Niklas Landgraf,德國,Germany,66,74,3,CB,LB,LM,24,0,賀利舒查,Hallescher FC,,
Atomu Tanaka,Atomu Tanaka,日本,Japan,66,66,1,LM,,,32,0,赫爾辛基,HJK Helsinki,,
Aapo Halme,Aapo Halme,芬蘭,Finland,66,76,2,CB,CDM,,22,0,班士利,Barnsley,,
Simon Skarlatidis,Simon Skarlatidis,德國,Germany,66,66,3,LM,RM,CM,29,0,凱沙羅頓,1. FC Kaiserslautern,,
Mario Kvesić,Mario Kvesić,波斯尼亞和黑塞哥維那,Bosnia & Herzegovina,66,66,3,CAM,CM,ST,28,0,馬格德堡,1. FC Magdeburg,,
Steve Seddon,Steve Seddon,英格蘭,England,66,76,2,LB,LWB,,22,0,樸茨茅夫,Portsmouth,伯明翰,On loan from: Birmingham City
Cho Young Wook,Cho Young Wook,大韓民國,Korea Republic,66,74,3,ST,LW,CM,21,1,FC首爾,FC Seoul,,
David Carmona,David Carmona,西班牙,Spain,66,75,2,RB,RWB,,23,0,桑坦德,Real Racing Club,卡迪斯,On loan from: Cádiz CF
Emanuel Ojeda,Emanuel Ojeda,阿根廷,Argentina,66,76,2,CM,CDM,,22,0,羅沙里奧中央,Rosario Central,,
Renato Tarifeño,Renato Tarifeño,智利,Chile,66,75,1,ST,,,23,0,柏利斯天奴,CD Palestino,,
Josimar Feijoo,Josimar Feijoo,巴西,Brazil,66,66,1,CDM,,,28,0,查比高恩斯,Chapecoense,,
Alessandro Rossi,Alessandro Rossi,意大利,Italy,66,72,1,ST,,,23,0,祖華史塔比亞,Castellammare di Stabia,拉素,On loan from: Lazio
Simone Palombi,Simone Palombi,意大利,Italy,66,73,1,ST,,,24,0,克雷莫拿,Cremona,拉素,On loan from: Lazio
Juan Pablo Ramírez,Juan Pablo Ramírez,哥倫比亞,Colombia,66,74,2,CAM,LM,,22,0,布卡拉曼加體育會,Atlético Bucaramanga,國民體育會,On loan from: Atlético Nacional
Luis Hernández,Luis Hernández,墨西哥,Mexico,66,71,2,CB,RB,,22,0,托盧卡,Deportivo Toluca,尼卡沙,On loan from: Club Necaxa
Joao Rojas,Joao Rojas,厄瓜多爾,Ecuador,66,77,2,CM,LM,,22,0,艾美歷克,CS Emelec,,
Agyemang Diawusie,Agyemang Diawusie,德國,Germany,66,77,2,RM,LM,,22,0,恩高斯達特,FC Ingolstadt 04,,
Shuhei Akasaki,Shuhei Akasaki,日本,Japan,66,66,1,ST,,,28,0,仙台維加泰,Vegalta Sendai,,
Miki Yamane,Miki Yamane,日本,Japan,66,69,1,CB,,,26,0,川崎前鋒,Kawasaki Frontale,,
Yuto Misao,Yuto Misao,日本,Japan,66,67,1,CB,,,29,0,大分三神,Oita Trinita,,
Kenny Dougall,Kenny Dougall,澳洲,Australia,66,68,2,CDM,CM,,27,0,班士利,Barnsley,,
Sherel Floranus,Sherel Floranus,荷蘭,Netherlands,66,75,2,RB,LB,,21,0,海倫芬,SC Heerenveen,,
Nahuel Molina,Nahuel Molina,阿根廷,Argentina,66,76,2,RB,RWB,,22,1,小保加,Boca Juniors,,
Borja Domínguez,Borja Domínguez,西班牙,Spain,66,67,2,CM,CDM,,28,0,盧高,CD Lugo,,
Kim Dae Won,Kim Dae Won,大韓民國,Korea Republic,66,75,2,LW,ST,,23,0,FC大邱,Daegu FC,,
Yoshiki Matsushita,Yoshiki Matsushita,日本,Japan,66,70,3,CDM,CM,LB,26,0,仙台維加泰,Vegalta Sendai,,
Kazuma Watanabe,Kazuma Watanabe,日本,Japan,66,66,2,ST,LM,,33,0,大阪飛腳,Gamba Osaka,,
Koki Machida,Koki Machida,日本,Japan,66,72,2,CB,LB,,22,0,鹿島鹿角,Kashima Antlers,,
Gao Zhunyi,Gao Zhunyi,中華人民共和國,China PR,66,72,2,CB,LB,,24,0,廣州恆大淘寶足球俱樂部,Guangzhou Evergrande Taobao FC,,
Dominik Prokop,Dominik Prokop,奧地利,Austria,66,73,3,CAM,CM,LW,23,0,奧地利維也納,FK Austria Wien,,
Hiroki Iikura,Hiroki Iikura,日本,Japan,66,66,1,GK,,,34,1,神戶勝利船,Vissel Kobe,,
Mateus,Mateus,巴西,Brazil,66,69,3,LM,RM,ST,25,0,名古屋鯨魚,Nagoya Grampus,,
Pape Djibril Diaw,Pape Djibril Diaw,塞內加爾,Senegal,66,68,1,CB,,,25,0,卡昂,Stade Malherbe Caen,昂熱,On loan from: Angers SCO
Fabio,Fabio,巴西,Brazil,66,66,1,CB,,,31,0,岩田,Júbilo Iwata,,
Akito Fukuta,Akito Fukuta,日本,Japan,66,66,3,CM,RM,CDM,28,0,湘南比馬,Shonan Bellmare,,
Juan Bautista Cascini,Juan Bautista Cascini,阿根廷,Argentina,66,73,2,CM,CDM,,23,1,博托沙尼,Fotbal Club Botoșani,,
Kohei Shimizu,Kohei Shimizu,日本,Japan,66,66,3,LM,RB,CB,31,0,廣島三箭,Sanfrecce Hiroshima,,
Ko Seung Beom,Ko Seung Beom,大韓民國,Korea Republic,66,68,2,CM,RM,,26,0,水原三星,Suwon Samsung Bluewings,,
Kei Koizumi,Kei Koizumi,日本,Japan,66,71,3,CDM,CM,RB,25,0,鹿島鹿角,Kashima Antlers,,
Tatsuya Morita,Tatsuya Morita,日本,Japan,66,67,1,GK,,,29,0,鳥棲砂岩,Sagan Tosu,,
